country,value,year,code,log(value)
China,280980000000.0,2018,CHN,11.448675408165723
"Other Asia, nes",43290000000.0,2018,,10.636387585813157
Singapore,40420000000.0,2018,SGP,10.606596309179285
South Korea,35580000000.0,2018,KOR,10.551205943747906
Japan,34880000000.0,2018,JPN,10.54257647626053
United States,31760000000.0,2018,USA,10.501880493755058
Malaysia,24140000000.0,2018,MYS,10.38273726576133
Switzerland,15800000000.0,2018,CHE,10.198657086954423
Thailand,11880000000.0,2018,THA,10.074816440645174
India,11850000000.0,2018,IND,10.073718350346123
Philippines,11100000000.0,2018,PHL,10.045322978786658
United Kingdom,10000000000.0,2018,GBR,10.0
Vietnam,8439999999.999999,2018,VNM,9.926342446625656
Australia,7160000000.0,2018,AUS,9.854913022307855
Germany,6950000000.0,2018,DEU,9.841984804590114
France,6780000000.0,2018,FRA,9.831229693867064
Italy,6660000000.0,2018,ITA,9.823474229170301
United Arab Emirates,4430000000.0,2018,ARE,9.64640372622307
Belgium,3310000000.0,2018,BEL,9.519827993775719
Indonesia,2890000000.0,2018,IDN,9.460897842756548
South Africa,2850000000.0,2018,ZAF,9.45484486000851
Brazil,2740000000.0,2018,BRA,9.437750562820389
Netherlands,2710000000.0,2018,NLD,9.432969290874405
Israel,2400000000.0,2018,ISR,9.380211241711606
Canada,2210000000.0,2018,CAN,9.344392273685111
Chile,1140000000.0,2018,CHL,9.056904851336473
Spain,1020000000.0,2018,ESP,9.008600171761918
Mexico,987280000.0,2018,MEX,8.994440339305523
Ireland,944940000.0,2018,IRL,8.975404233381033
Macau,941220000.0,2018,MAC,8.973691146932962
Russia,849890000.0,2018,RUS,8.929362719262022
Qatar,789650000.0,2018,QAT,8.897434639707935
Turkey,760390000.0,2018,TUR,8.88103639676077
New Zealand,686670000.0,2018,NZL,8.836748073870014
Denmark,537750000.0,2018,DNK,8.7305804190595
Saudi Arabia,528980000.0,2018,SAU,8.72343925227368
Hungary,360840000.0,2018,HUN,8.557314674148142
Poland,351640000.0,2018,POL,8.54609827138238
Botswana,341360000.0,2018,BWA,8.533212629851256
Austria,340480000.0,2018,AUT,8.532091606278936
Czech Republic,307490000.0,2018,CZE,8.487830996483996
Cambodia,298060000.0,2018,KHM,8.47430369711656
Sweden,267130000.0,2018,SWE,8.42672266414578
Argentina,257880000.0,2018,ARG,8.411417661539069
Suriname,225450000.0,2018,SUR,8.35305023964259
Slovenia,224180000.0,2018,SVN,8.350596864828633
Malta,213600000.0,2018,MLT,8.32960124835652
Norway,181890000.0,2018,NOR,8.259808822954628
Bangladesh,170620000.0,2018,BGD,8.232029937620133
Costa Rica,158460000.0,2018,CRI,8.199919651590568
Luxembourg,149750000.0,2018,LUX,8.17536683106135
Bahrain,147790000.0,2018,BHR,8.169645049134955
Portugal,147430000.0,2018,PRT,8.16858586553641
Peru,144880000.0,2018,PER,8.161008437306002
Colombia,133669999.99999999,2018,COL,8.126033948051813
Sri Lanka,132910000.0,2018,LKA,8.12355765800395
Morocco,121280000.0,2018,MAR,8.083789188287978
El Salvador,118580000.0,2018,SLV,8.074011446008944
Iran,117320000.0,2018,IRN,8.069372054308515
Finland,114730000.0,2018,FIN,8.059676993584755
Pakistan,107050000.0,2018,PAK,8.029586671630458
Oman,104160000.0,2018,OMN,8.017700971224116
Myanmar,101090000.0,2018,MMR,8.004708196544335
Uganda,80050000.0,2018,UGA,7.903361336255318
Egypt,75400000.0,2018,EGY,7.877371345869774
Bulgaria,64769999.99999999,2018,BGR,7.811373897053893
Uruguay,62860000.0,2018,URY,7.798374376681561
Kuwait,61720000.0,2018,KWT,7.790425917391111
Kenya,57820000.0,2018,KEN,7.762078087334639
Ukraine,57050000.0,2018,UKR,7.756255648754234
Namibia,52900000.0,2018,NAM,7.723455672035186
Cuba,52700000.0,2018,CUB,7.721810615212546
Papua New Guinea,52530000.0,2018,PNG,7.720407400803109
Jordan,50970000.0,2018,JOR,7.707314633588708
Greece,50620000.0,2018,GRC,7.704322140822235
Romania,50420000.0,2018,ROU,7.702602841340427
Croatia,46240000.0,2018,HRV,7.665017825412472
Tanzania,41910000.0,2018,TZA,7.622317660833844
Lithuania,41390000.0,2018,LTU,7.61689542640076
Angola,37070000.0,2018,AGO,7.569022586029564
Ecuador,36520000.0,2018,ECU,7.562530768862262
Zimbabwe,34120000.0,2018,ZWE,7.533009022495485
Nigeria,31040000.0,2018,NGA,7.491921712586151
Slovakia,30000000.0,2018,SVK,7.477121254719663
Nicaragua,29900000.0,2018,NIC,7.47567118832443
Panama,26310000.0,2018,PAN,7.420120848085703
Senegal,25000000.0,2018,SEN,7.3979400086720375
Lebanon,24130000.0,2018,LBN,7.382557321908786
Zambia,23940000.0,2018,ZMB,7.379124146070392
Guyana,23610000.0,2018,GUY,7.373095987078727
Guatemala,21900000.0,2018,GTM,7.3404441148401185
Dominican Republic,20960000.0,2018,DOM,7.3213912783116895
Cyprus,19330000.0,2018,CYP,7.286231854028553
Venezuela,17930000.0,2018,VEN,7.253580289562183
Estonia,16719999.999999998,2018,EST,7.223236273102998
Ghana,15740000.0,2018,GHA,7.197004728023046
Latvia,13970000.0,2018,LVA,7.145196406114182
Yemen,12870000.0,2018,YEM,7.109578546904387
Serbia,12290000.0,2018,SRB,7.089551882886454
Paraguay,12080000.0,2018,PRY,7.082066934285113
Honduras,11540000.0,2018,HND,7.062205808819713
Ethiopia,11340000.0,2018,ETH,7.054613054556888
Barbados,10770000.0,2018,BRB,7.0322157032979815
Tunisia,10260000.0,2018,TUN,7.011147360775797
Mozambique,9420000.0,2018,MOZ,6.974050902792877
Laos,9240000.0,2018,LAO,6.9656719712201065
Mauritius,8740000.0,2018,MUS,6.941511432634403
Moldova,8720000.0,2018,MDA,6.940516484932568
Belarus,7290000.0,2018,BLR,6.862727528317975
Guam,6550000.0,2018,GUM,6.816241299991783
Brunei,6490000.0,2018,BRN,6.812244696800369
Madagascar,6310000.0,2018,MDG,6.800029359244134
Togo,6010000.0,2018,TGO,6.778874472002739
Maldives,5930000.0,2018,MDV,6.773054693364263
"Oceania, nes",5020000.0,2018,,6.70070371714502
Georgia,4059999.9999999995,2018,GEO,6.608526033577194
Bolivia,3920000.0,2018,BOL,6.593286067020458
Jamaica,3620000.0,2018,JAM,6.558708570533166
Iceland,3530000.0,2018,ISL,6.547774705387822
Haiti,3350000.0,2018,HTI,6.525044807036846
Guinea,3300000.0,2018,GIN,6.518513939877887
Republic of the Congo,3180000.0,2018,COD,6.502427119984433
Mauritania,3090000.0,2018,MRT,6.489958479424835
Montenegro,3020000.0,2018,MNE,6.480006942957151
Solomon Islands,2750000.0,2018,SLB,6.439332693830263
Fiji,2690000.0,2018,FJI,6.429752280002408
Algeria,2650000.0,2018,DZA,6.423245873936808
Seychelles,2500000.0,2018,SYC,6.3979400086720375
Iraq,2320000.0,2018,IRQ,6.365487984890899
Nepal,2270000.0,2018,NPL,6.3560258571931225
Gabon,2020000.0,2018,GAB,6.305351369446623
Kazakhstan,1810000.0,2018,KAZ,6.2576785748691846
Malawi,1750000.0,2018,MWI,6.243038048686294
Djibouti,1650000.0,2018,DJI,6.217483944213907
Vanuatu,1510000.0,2018,VUT,6.17897694729317
Mongolia,1510000.0,2018,MNG,6.17897694729317
Uzbekistan,1430000.0,2018,UZB,6.155336037465061
Macedonia,1330000.0,2018,MKD,6.123851640967086
Cameroon,1290000.0,2018,CMR,6.110589710299249
Trinidad And Tobago,970890.0,2018,TTO,5.987170027952116
Azerbaijan,936360.0,2018,AZE,5.97144285296316
Benin,862600.0,2018,BEN,5.935809453809933
Liberia,856920.0,2018,LBR,5.932940279122394
Congo,847740.0,2018,COG,5.928262675512426
Belize,819710.0,2018,BLZ,5.913660233266842
Sudan,713370.0,2018,SDN,5.8533148416039475
Ivory Coast,675710.0,2018,CIV,5.829760346204363
Rwanda,641480.0,2018,RWA,5.807183120531617
Mali,583920.0,2018,MLI,5.766353350642424
Bahamas,573130.0,2018,BHS,5.758253141826201
Somalia,556800.0,2018,SOM,5.745699226602506
Cape Verde,545360.0,2018,CPV,5.7366832809904
Albania,522809.99999999994,2018,ALB,5.718343885915553
Kyrgyzstan,495880.0,2018,KGZ,5.695376592532294
Sierra Leone,467280.0,2018,SLE,5.669577193231637
Armenia,411650.0,2018,ARM,5.614528119747539
Aruba,387160.0,2018,ABW,5.587890481186355
American Samoa,355950.0,2018,ASM,5.55138899727302
Swaziland,335150.0,2018,SWZ,5.525239223729745
Bosnia And Herzegovina,308640.0,2018,BIH,5.48945221029981
Central African Republic,248870.0,2018,CAF,5.395972547794993
Andorra,221120.0,2018,AND,5.344628025694105
FS Micronesia,194560.0,2018,FSM,5.2890535575926405
Tokelau,182000.0,2018,TKL,5.260071387985075
Afghanistan,175350.0,2018,AFG,5.243905770217522
Turkmenistan,148590.0,2018,TKM,5.1719895827021185
Kiribati,137640.0,2018,KIR,5.138744663948892
Gambia,137520.0,2018,GMB,5.138365863678996
Gibraltar,129539.99999999999,2018,GIB,5.112403892717874
Marshall Islands,125670.0,2018,MHL,5.099231615080882
Northern Mariana Islands,102880.0,2018,MNP,5.012330955580147
San Marino,101180.0,2018,SMR,5.005094675072549
"Other Europe, nes",91170.0,2018,,4.959851954799605
Bhutan,68520.0,2018,BTN,4.835817354293473
South Sudan,60840.0,2018,SSD,4.784189205380961
Syria,53490.0,2018,SYR,4.728272597895017
Niger,27660.0,2018,NER,4.441852175773292
Samoa,25330.0,2018,WSM,4.403635189790548
Chad,24300.0,2018,TCD,4.385606273598312
Tonga,23680.0,2018,TON,4.3743816980508825
Burkina Faso,21020.0,2018,BFA,4.322632711692224
"America, nes",18790.0,2018,,4.273926780100526
Comoros,15020.0,2018,COM,4.176669932668149
Lesotho,13130.0,2018,LSO,4.118264726089479
Burundi,10960.0,2018,BDI,4.03981055414835
"Other Africa, nes",10160.0,2018,,4.0068937079479
Libya,8710.0,2018,LBY,3.9400181550076634
Tajikistan,3620.0,2018,TJK,3.558708570533166
Equatorial Guinea,3000.0,2018,GNQ,3.4771212547196626
Guinea Bissau,2550.0,2018,GNB,3.406540180433955
Vatican City State,2320.0,2018,VAT,3.3654879848909
United States Minor Outlying Islands,1280.0,2018,UMI,3.1072099696478683
Grenada,298,2018,GRD,2.4742162640762553
Nauru,73,2018,NRU,1.863322860120456
North Korea,1,2018,PRK,0.0
